Tenet | Sci-Fi
Pieces of a Woman | Drama
The Midnight Sky | Fantasy
Promising Young Woman | Drama
Another Round | Comedy
Mulan | Adventure
One Night in Miami | Drama
Greenland | Action
News of the World | Adventure
The Trial of the Chicago 7 | Drama
Mank | Biography
Enola Holmes | Adventure
Avengers: Endgame | Action
The Gentlemen | Action
Parasite | Thriller
Sound of Metal | Drama
The Lion King |  Adventure
Knives Out | Crime
1917 | Thriller
Harry Potter and the Sorcerer's Stone | Adventure
The Lord of the Rings: The Fellowship of the Ring | Adventure
Love Actually | Comedy
The Dark Knight | Action
Pride & Prejudice | Drama
Catch Me If You Can | Drama
The Departed | Thriller
Cast Away | Drama
The Prestige | Drama
No Country for Old Men | Thriller
The Lord of the Rings: The Two Towers | Adventure
Inside Man | Crime
Into the Wild | Adventure
Star Wars: Episode II - Attack of the Clones | Adventure
